 -12.000      0.000000    0.00000000      Infinity    0.00000704      Infinity    0.00000121
   4.400      1.717487    0.00006074      0.171295    0.00007513      0.136773    0.00007794
   4.600      1.743309    0.00005550      0.152579    0.00006813      0.124089    0.00005064
   4.800      1.767608    0.00009594      0.135616    0.00009656      0.113104    0.00010482
   5.000      1.790616    0.00007693      0.120073    0.00007716      0.102011    0.00006471
   5.200      1.812050    0.00008418      0.106194    0.00008901      0.091473    0.00008549
   5.400      1.832435    0.00006914      0.093340    0.00007044      0.081615    0.00007011
   5.600      1.852266    0.00008755      0.081153    0.00008622      0.071869    0.00008189
   5.800      1.871613    0.00006098      0.069612    0.00006633      0.062453    0.00005074
   6.000      1.890085    0.00006123      0.058876    0.00006054      0.053479    0.00005521
   6.200      1.907060    0.00004856      0.049218    0.00005121      0.045129    0.00004294
   6.400      1.922478    0.00003890      0.040646    0.00004034      0.037609    0.00003541
   6.600      1.936158    0.00005805      0.033181    0.00005865      0.030968    0.00005593
   6.800      1.948479    0.00003538      0.026583    0.00003685      0.025008    0.00003238
   7.000      1.959641    0.00002529      0.020681    0.00002675      0.019602    0.00002373
   7.200      1.969362    0.00003615      0.015602    0.00003711      0.014887    0.00003411
   7.400      1.977328    0.00002407      0.011491    0.00002523      0.011041    0.00002369
   7.600      1.983549    0.00001556      0.008306    0.00001721      0.008037    0.00001514
   7.800      1.988314    0.00001533      0.005884    0.00001686      0.005732    0.00001492
   8.000      1.991908    0.00001059      0.004065    0.00001275      0.003987    0.00001036
   8.200      1.994607    0.00000566      0.002705    0.00000907      0.002668    0.00000569
   8.400      1.996535    0.00000278      0.001736    0.00000757      0.001721    0.00000299
   8.600      1.997850    0.00000330      0.001076    0.00000777      0.001070    0.00000347
   8.800      1.998711    0.00000157      0.000645    0.00000721      0.000643    0.00000197
   9.000      1.999239    0.00000103      0.000381    0.00000713      0.000380    0.00000159
   9.200      1.999557    0.00000089      0.000221    0.00000709      0.000221    0.00000150
   9.400      1.999744    0.00000034      0.000128    0.00000705      0.000128    0.00000125
   9.600      1.999853    0.00000024      0.000073    0.00000704      0.000073    0.00000123
   9.800      1.999916    0.00000019      0.000042    0.00000704      0.000042    0.00000122
  10.000      1.999952    0.00000007      0.000024    0.00000704      0.000024    0.00000121
  10.200      1.999972    0.00000004      0.000014    0.00000704      0.000014    0.00000121
  10.400      1.999984    0.00000002      0.000008    0.00000704      0.000008    0.00000121
  10.600      1.999991    0.00000002      0.000005    0.00000704      0.000005    0.00000121
  10.800      1.999995    0.00000001      0.000003    0.00000704      0.000003    0.00000121
  11.000      1.999997    0.00000001      0.000001    0.00000704      0.000001    0.00000121
  11.200      1.999998    0.00000000      0.000001    0.00000704      0.000001    0.00000121
  11.400      1.999999    0.00000000      0.000000    0.00000704      0.000000    0.00000121
  11.600      1.999999    0.00000000      0.000000    0.00000704      0.000000    0.00000121
  11.800      2.000000    0.00000000      0.000000    0.00000704      0.000000    0.00000121
  12.000      2.000000    0.00000000      0.000000    0.00000704      0.000000    0.00000121
