 -10.000      0.000000    0.00000000      Infinity    0.00000134      Infinity    0.00000048
   6.400      1.980045    0.00000725      0.010091    0.00000739      0.009649    0.00000681
   6.600      1.986021    0.00000746      0.007045    0.00000758      0.006795    0.00000710
   6.800      1.990302    0.00000649      0.004876    0.00000659      0.004742    0.00000624
   7.000      1.993523    0.00000393      0.003250    0.00000410      0.003187    0.00000386
   7.200      1.995928    0.00000439      0.002040    0.00000455      0.002015    0.00000434
   7.400      1.997619    0.00000235      0.001192    0.00000271      0.001183    0.00000237
   7.600      1.998682    0.00000095      0.000659    0.00000172      0.000657    0.00000106
   7.800      1.999298    0.00000062      0.000351    0.00000148      0.000350    0.00000079
   8.000      1.999635    0.00000032      0.000183    0.00000137      0.000182    0.00000058
   8.200      1.999812    0.00000016      0.000094    0.00000135      0.000094    0.00000051
   8.400      1.999904    0.00000013      0.000048    0.00000134      0.000048    0.00000050
   8.600      1.999951    0.00000003      0.000024    0.00000134      0.000024    0.00000048
   8.800      1.999975    0.00000002      0.000012    0.00000134      0.000012    0.00000048
   9.000      1.999987    0.00000001      0.000006    0.00000134      0.000006    0.00000048
   9.200      1.999994    0.00000001      0.000003    0.00000134      0.000003    0.00000048
   9.400      1.999997    0.00000000      0.000002    0.00000134      0.000002    0.00000048
   9.600      1.999998    0.00000000      0.000001    0.00000134      0.000001    0.00000048
   9.800      1.999999    0.00000000      0.000000    0.00000134      0.000000    0.00000048
  10.000      2.000000    0.00000000      0.000000    0.00000134      0.000000    0.00000048
