   7.000      1.998756    0.00000059      0.000623    0.00000062      0.000620    0.00000058
   7.200      1.999406    0.00000033      0.000297    0.00000040      0.000296    0.00000034
   7.400      1.999725    0.00000017      0.000138    0.00000027      0.000137    0.00000018
   7.600      1.999875    0.00000007      0.000063    0.00000024      0.000063    0.00000009
   7.800      1.999943    0.00000003      0.000028    0.00000023      0.000028    0.00000007
   8.000      1.999974    0.00000001      0.000013    0.00000023      0.000013    0.00000006
   8.200      1.999989    0.00000001      0.000006    0.00000023      0.000006    0.00000006
   8.400      1.999995    0.00000000      0.000003    0.00000023      0.000003    0.00000006
   8.600      1.999998    0.00000000      0.000001    0.00000023      0.000001    0.00000006
   8.800      1.999999    0.00000000      0.000001    0.00000023      0.000001    0.00000006
   9.000      2.000000    0.00000000      0.000000    0.00000023      0.000000    0.00000006
   9.200      2.000000    0.00000000      0.000000    0.00000023      0.000000    0.00000006
   9.400      2.000000    0.00000000      0.000000    0.00000023      0.000000    0.00000006
   9.600      2.000000    0.00000000      0.000000    0.00000023      0.000000    0.00000006
   9.800      2.000000    0.00000000      0.000000    0.00000023      0.000000    0.00000006
