# mu        density                      +-                       S_pi
  0.0       1.0 			 0		          2.10501  
  0.2       1.00864995446169		2.854574366245724E-005    2.10476  
  0.4       1.01768510380663		3.794834016532342E-005    2.07321  
  0.6       1.02739991736176		7.422222712689094E-005    2.01802  
  0.8       1.03811429326476		9.635147472315515E-005    1.96757  
  1.0       1.04997552605145		7.999041153591553E-005    1.88061  
  1.2       1.06357062488308		9.487257308550099E-005    1.80340  
  1.4       1.07844008103718		1.299661218642519E-004    1.71778  
  1.6       1.09490467232472		7.682104607055936E-005    1.61247  
  1.8       1.11271302794754		1.009977656182526E-004    1.52383  
  2.0       1.13214685286774		1.676116183376890E-004    1.42557  
  2.2       1.15285451995327		1.470706085263332E-004    1.33872  
  2.4       1.17435686585142		2.146214207643155E-004    1.25200  
  2.6       1.19690799213415		1.667813713882392E-004    1.17163  
  2.8       1.22017635333189		1.570784272088620E-004    1.09434  
  3.0       1.24474483765497		1.494000567308953E-004    1.02404  
  3.2       1.27027184428879		1.930066038825086E-004    0.96009  
  3.4       1.29611379740225		1.480939725870671E-004    0.89989  
  3.6       1.32288239375107		2.898324550439246E-004    0.84198  
  3.8       1.34949542432704		1.484728301109779E-004    0.79233  
  4.0       1.37725653665203		2.240138021555742E-004    0.74211  
  4.2       1.40565955029338		2.818142536913619E-004    0.69445  
  4.4       1.43412889146900		3.540421335191145E-004    0.64962  
  4.6       1.46281244708227		2.654355916657977E-004    0.60835  
  4.8       1.49139615007318		2.422559119603027E-004    0.56756  
  5.0       1.51978171372181		1.874773616312967E-004    0.52895  
  5.2       1.54807971359250		1.966481400957891E-004    0.49339  
  5.4       1.57689225735197		2.821874592734254E-004    0.45691  
  5.6       1.60483615917488		1.542265258121780E-004    0.42339  
  5.8       1.63221745002450		2.030125189841116E-004    0.39128  
  6.0       1.65892848399594		2.484216588947205E-004    0.36027  
  6.2       1.68484568107588		1.840352836834036E-004    0.33097  
  6.4       1.70991368850212		1.508009984418264E-004    0.30289  
  6.6       1.73420470422265		2.416659100133141E-004    0.27636  
  6.8       1.75709919136999		1.627940718590142E-004    0.25128  
  7.0       1.77941843816392		1.801753353706787E-004    0.22723  
  7.2       1.80055487060310		9.636618762115996E-005    0.20473  
  7.4       1.82043595117948		1.422322424484427E-004    0.18386  
  7.6       1.83926052103797		1.598820722223600E-004    0.16409  
  7.8       1.85731120804310		1.375155144620646E-004    0.14522  
  8.0       1.87413674623324		1.459777210176214E-004    0.12780  
  8.2       1.88993409361799		1.177631226433171E-004    0.11149  
  8.4       1.90437546595561		1.074892090922183E-004    0.09669  
  8.6       1.91799160443745		1.508955106595559E-004    0.08280  
  8.8       1.92983157090592		6.352951356682247E-005    0.07070  
  9.0       1.94095434533757		6.316964477633697E-005    0.05944  
  9.2       1.95079073324539		3.491179029567202E-005    0.04948  
  9.4       1.95942932631588		7.628273233030233E-005    0.04073  
  9.6       1.96682463075554		5.610072680056101E-005    0.03329  
  9.8       1.97331732373013		5.127111999425106E-005    0.02676  
  10.0       1.97871133051030		 6.185950583508312E-005    0.02133 
  10.2       1.98319547963033		 2.929277957447346E-005    0.01684 
  10.4       1.98686459774891		 2.660679191569249E-005    0.01316 
  10.6       1.98983524672656		 3.553384936940117E-005    0.01017 
  10.8       1.99218857650401		 2.506151411795326E-005    0.00783 
  11.0       1.99403818911071		 1.500574462120768E-005    0.00596 
  11.2       1.99545999262268		 1.605678936322835E-005    0.00452 
  11.4       1.99657348953536		 4.789396827745504E-006    0.00342 
  11.6       1.99744709772952		 5.289328945881809E-006    0.00255 
  11.8       1.99808745188820		 7.452851125701874E-006    0.00191 
  12.0       1.99856455243996		 3.966612867127280E-006    0.00144 
