# mu dens spi spi_err
 -5.50   0.5240   0.587  0.001
 -5.00   0.5944   0.691  0.003
 -4.50   0.6622   0.816  0.002
 -4.00   0.7274   0.966  0.007
 -3.75   0.7582   1.062  0.010
 -3.50   0.7887   1.198  0.023
 -3.00   0.8542   1.479  0.012
 -2.50   0.8956   1.837  0.027
 -2.00   0.9376   2.34   0.17
 -1.50   0.9681   2.95   0.05
 -1.00   0.9861   3.52   0.11
 -0.50   0.9951   3.52   0.08
 -0.00   1.0000   3.60   0.08
