# mu        density                      +-                       S_pi
  0.0       1.00000000000000		0.000000000000000E+000       3.52282 
  0.2       1.00697019419991		3.563745572124438E-005       3.43900 
  0.4       1.01463933071419		5.427603683893065E-005       3.35176 
  0.8       1.03365105085925		1.227426467544901E-004       3.02481 
  1.0       1.04563669849739		1.474163292058409E-004       2.74184 
  1.2       1.06009556287431		1.903095793685378E-004       2.51891 
  1.4       1.07609939814407		1.898226656109859E-004       2.27121 
  1.6       1.09422941693418		1.493237666837069E-004       2.04040 
  1.8       1.11332710777805		8.635898593299924E-005       1.83728 
  2.0       1.13416854854513		2.282955459205362E-004       1.70451 
  2.2       1.15615715295726		1.842230510098833E-004       1.49284 
  2.4       1.17896071948661		1.833830488738570E-004       1.34437 
  2.6       1.20292684640892		8.833271695860150E-005       1.23100 
  2.8       1.22754935923930		1.373024928316014E-004       1.12951 
  3.0       1.25285926170615		1.383630986493284E-004       1.04488 
  3.2       1.27897409499706		1.690139514874566E-004       0.96463 
  3.4       1.30584249629511		1.741458891666545E-004       0.89664 
  3.6       1.33295483340937		1.212885399573642E-004       0.83562 
  3.8       1.36092822880014		2.760512553789078E-004       0.77908 
  4.0       1.38899856889611		1.218100269239080E-004       0.72614 
  4.2       1.41783188980391		1.433624836075597E-004       0.67794 
  4.4       1.44704228980982		1.916880493894776E-004       0.63299 
  4.6       1.47624295405150		1.475855162739881E-004       0.59007 
  4.8       1.50577428390732		1.764735810791560E-004       0.54951 
  5.0       1.53521676375291		2.296021156931138E-004       0.50975 
  5.2       1.56471633777375		1.493643818338787E-004       0.47332 
  5.4       1.59377377869700		1.880066449230882E-004       0.43748 
  5.6       1.62183311462727		1.883503535789555E-004       0.40399 
  5.8       1.64983997733568		1.778199137966413E-004       0.37157 
  6.0       1.67664431267344		1.471907674209919E-004       0.34072 
  6.2       1.70261499512516		1.054787177847413E-004       0.31140 
  6.4       1.72712432527706		1.732695841609855E-004       0.28432 
  6.8       1.77338540041229		1.921859008751188E-004       0.23418 
  7.0       1.79494672123222		1.963112137832121E-004       0.21096 
  7.2       1.81533612843178		1.486914907327571E-004       0.18932 
  7.4       1.83474707165859		1.371255771325941E-004       0.16884 
  7.6       1.85314919272978		9.158893056708146E-005       0.14965 
  7.8       1.87115932775256		1.217304100554817E-004       0.13094 
  8.0       1.88752096170564		1.157843574265729E-004       0.11406 
  8.2       1.90299694851181		6.969861620371975E-005       0.09820 
  8.4       1.91730286889312		9.374329311341612E-005       0.08352 
  8.6       1.93023793586298		1.024735847515556E-004       0.07032 
  8.8       1.94226384066181		9.691831274310105E-005       0.05809 
  9.0       1.95282324899291		5.972961270267329E-005       0.04743 
  9.2       1.96228150162184		5.921069303782428E-005       0.03786 
  9.4       1.97021773809822		4.770978262688209E-005       0.02987 
  9.6       1.97691736596357		5.056463846055538E-005       0.02313 
  9.8       1.98240053791694		5.019710432702491E-005       0.01765 
  10.8       1.99650161651651		 5.998599876260272E-006       0.00351
  11.0       1.99757843589953		 5.922709680806380E-006       0.00240
  11.2       1.99833332354285		 6.287047558526342E-006       0.00166
  11.4       1.99887552153871		 3.879945610614118E-006       0.00112
  11.6       1.99923378934324		 2.813018996830453E-006       0.00077
  11.8       1.99948048086900		 1.374232272799941E-006       0.00052
  12.0       1.99965107293469		 1.417421482838794E-006       0.00035
