 -12.000      0.000000    0.00000000      Infinity    0.00000057      Infinity    0.00000024
 -11.800      0.000000    0.00000000      Infinity    0.00000057      Infinity    0.00000024
 -11.600      0.000000    0.00000000      Infinity    0.00000057      Infinity    0.00000024
 -11.400      0.000001    0.00000000      0.612688    0.00000057      0.612687    0.00000024
 -11.200      0.000001    0.00000000      0.932937    0.00000057      0.932935    0.00000024
 -11.000      0.000001    0.00000000      1.418841    0.00000057      1.418837    0.00000024
 -10.800      0.000002    0.00000000      1.079693    0.00000057      1.079688    0.00000024
 -10.600      0.000003    0.00000000      1.095715    0.00000057      1.095707    0.00000024
 -10.400      0.000005    0.00000000      1.000043    0.00000057      1.000032    0.00000024
 -10.200      0.000008    0.00000000      0.952331    0.00000057      0.952315    0.00000024
 -10.000      0.000012    0.00000000      0.965229    0.00000057      0.965203    0.00000024
  -9.800      0.000018    0.00000001      0.980116    0.00000057      0.980077    0.00000024
  -9.600      0.000027    0.00000001      0.993286    0.00000057      0.993226    0.00000024
  -9.400      0.000041    0.00000002      0.996103    0.00000057      0.996011    0.00000024
  -9.200      0.000062    0.00000002      1.001195    0.00000057      1.001054    0.00000024
  -9.000      0.000094    0.00000003      1.004051    0.00000057      1.003836    0.00000024
  -8.800      0.000144    0.00000006      0.996772    0.00000058      0.996449    0.00000025
  -8.600      0.000218    0.00000009      0.999213    0.00000058      0.998722    0.00000026
  -8.400      0.000330    0.00000009      1.000561    0.00000058      0.999816    0.00000026
  -8.200      0.000500    0.00000030      1.000962    0.00000065      0.999837    0.00000038
  -8.000      0.000754    0.00000031      1.000672    0.00000065      0.998982    0.00000039
  -7.800      0.001135    0.00000042      0.999959    0.00000071      0.997436    0.00000048
  -7.600      0.001696    0.00000075      1.000149    0.00000094      0.996407    0.00000078
  -7.400      0.002517    0.00000103      1.000250    0.00000118      0.994772    0.00000105
  -7.200      0.003696    0.00000131      1.000250    0.00000143      0.992371    0.00000132
  -7.000      0.005350    0.00000127      1.000186    0.00000140      0.989076    0.00000127
  -6.800      0.007618    0.00000225      1.000258    0.00000232      0.985051    0.00000221
  -6.600      0.010660    0.00000315      1.000450    0.00000321      0.980225    0.00000310
  -6.400      0.014655    0.00000508      1.000619    0.00000512      0.974621    0.00000493
  -6.200      0.019794    0.00000420      1.000852    0.00000425      0.968381    0.00000414
  -6.000      0.026284    0.00000765      1.001143    0.00000769      0.961618    0.00000732
  -5.800      0.034294    0.00001019      1.001487    0.00001023      0.954382    0.00000977
  -5.600      0.043907    0.00001055      1.001931    0.00001065      0.946473    0.00001030
  -5.400      0.055214    0.00001236      1.002464    0.00001236      0.937953    0.00001142
  -5.200      0.068145    0.00001253      1.003085    0.00001265      0.928584    0.00001203
  -5.000      0.082772    0.00001942      1.003927    0.00001957      0.918704    0.00001891
  -4.800      0.099133    0.00001319      1.004697    0.00001315      0.907653    0.00001309
  -4.600      0.117178    0.00001809      1.005795    0.00001763      0.896002    0.00001673
  -4.400      0.136849    0.00001510      1.007047    0.00001599      0.883232    0.00001537
  -4.200      0.158022    0.00002773      1.008245    0.00002884      0.869239    0.00002222
  -4.000      0.180519    0.00001738      1.009684    0.00001728      0.854470    0.00001719
  -3.800      0.204600    0.00001874      1.011146    0.00001984      0.838775    0.00001774
  -3.600      0.230359    0.00002457      1.013185    0.00002936      0.821683    0.00001635
  -3.400      0.258049    0.00002644      1.014894    0.00002832      0.802836    0.00001676
  -3.200      0.287838    0.00002598      1.018437    0.00002901      0.783993    0.00001846
  -3.000      0.319886    0.00004389      1.021315    0.00005242      0.764364    0.00003336
  -2.800      0.354601    0.00002070      1.023841    0.00002231      0.744822    0.00003556
  -2.600      0.391950    0.00001799      1.028420    0.00002552      0.724735    0.00002619
  -2.400      0.431977    0.00001802      1.033310    0.00002253      0.704720    0.00003692
  -2.200      0.474323    0.00003005      1.039020    0.00003186      0.682763    0.00004038
  -2.000      0.518725    0.00002275      1.044771    0.00003477      0.662593    0.00003189
  -1.800      0.564750    0.00004843      1.051528    0.00008809      0.639559    0.00005629
  -1.600      0.612287    0.00003408      1.059873    0.00004477      0.615354    0.00005451
  -1.400      0.660939    0.00002192      1.067355    0.00006506      0.590198    0.00003358
  -1.200      0.710377    0.00001456      1.075164    0.00004113      0.565658    0.00003449
  -1.000      0.760002    0.00002116      1.079620    0.00008499      0.541076    0.00004909
  -0.800      0.809308    0.00000837      1.083045    0.00005803      0.516062    0.00004912
  -0.600      0.857900    0.00000893      1.079847    0.00009273      0.492894    0.00006162
  -0.400      0.905752    0.00000586      1.068487    0.00007285      0.470758    0.00008631
  -0.200      0.953020    0.00000366      1.040853    0.00007854      0.449422    0.00005308
   0.000      1.000000    0.00000000      0.998102    0.00010915      0.428316    0.00004330
   0.200      1.046980    0.00000366      0.947443    0.00007854      0.409089    0.00005308
   0.400      1.094248    0.00000586      0.884428    0.00007285      0.389664    0.00008631
   0.600      1.142100    0.00000893      0.811138    0.00009273      0.370242    0.00006162
   0.800      1.190692    0.00000837      0.736141    0.00005803      0.350765    0.00004912
   1.000      1.239998    0.00002116      0.661705    0.00008499      0.331628    0.00004909
   1.200      1.289623    0.00001456      0.592244    0.00004113      0.311587    0.00003449
   1.400      1.339061    0.00002192      0.526829    0.00006506      0.291312    0.00003358
   1.600      1.387713    0.00003408      0.467637    0.00004477      0.271507    0.00005451
   1.800      1.435250    0.00004843      0.413761    0.00008809      0.251657    0.00005629
   2.000      1.481275    0.00002275      0.365867    0.00003477      0.232032    0.00003189
   2.200      1.525677    0.00003005      0.323025    0.00003186      0.212267    0.00004038
   2.400      1.568023    0.00001802      0.284668    0.00002253      0.194144    0.00003692
   2.600      1.608050    0.00001799      0.250669    0.00002552      0.176649    0.00002619
   2.800      1.645399    0.00002070      0.220649    0.00002231      0.160517    0.00003556
   3.000      1.680114    0.00004389      0.194454    0.00005242      0.145531    0.00003336
   3.200      1.712162    0.00002598      0.171213    0.00002901      0.131800    0.00001846
   3.400      1.741951    0.00002644      0.150344    0.00002832      0.118930    0.00001676
   3.600      1.769641    0.00002457      0.131889    0.00002936      0.106961    0.00001635
   3.800      1.795400    0.00001874      0.115228    0.00001984      0.095585    0.00001774
   4.000      1.819481    0.00001738      0.100175    0.00001728      0.084776    0.00001719
   4.200      1.841978    0.00002773      0.086497    0.00002884      0.074571    0.00002222
   4.400      1.863151    0.00001510      0.073968    0.00001599      0.064874    0.00001537
   4.600      1.882822    0.00001809      0.062596    0.00001763      0.055763    0.00001673
   4.800      1.900867    0.00001319      0.052396    0.00001315      0.047335    0.00001309
   5.000      1.917228    0.00001942      0.043342    0.00001957      0.039663    0.00001891
   5.200      1.931855    0.00001253      0.035383    0.00001265      0.032755    0.00001203
   5.400      1.944786    0.00001236      0.028461    0.00001236      0.026629    0.00001142
   5.600      1.956093    0.00001055      0.022490    0.00001065      0.021245    0.00001030
   5.800      1.965706    0.00001019      0.017472    0.00001023      0.016650    0.00000977
   6.000      1.973716    0.00000765      0.013332    0.00000769      0.012806    0.00000732
   6.200      1.980206    0.00000420      0.010004    0.00000425      0.009680    0.00000414
