L=18
mu 
7.6 1771.tmcserver.if.ufrj  tclp        tmc_prin n6l22u2             --      1      1    --  480:00:00 R  00:00:00   mil05/0
8.0 1772.tmcserver.if.ufrj  tclp        tmc_prin n6l22u2             --      1      1    --  480:00:00 R  00:00:00   mil05/1
8.2 1773.tmcserver.if.ufrj  tclp        tmc_prin n6l22u2             --      1      1    --  480:00:00 R  00:00:03   mil05/2
8.6 1774.tmcserver.if.ufrj  tclp        tmc_prin n6l22u2             --      1      1    --  480:00:00 R  00:00:02   mil04/0
9.0 1775.tmcserver.if.ufrj  tclp        tmc_prin n6l22u2             --      1      1    --  480:00:00 R  00:00:15   mil04/1
9.2 1776.tmcserver.if.ufrj  tclp        tmc_prin n6l22u2             --      1      1    --  480:00:00 R  00:00:11   mil04/2
9.8 1777.tmcserver.if.ufrj  tclp        tmc_prin n6l22u2             --      1      1    --  480:00:00 R  00:00:00   mil01/0
10.2 1778.tmcserver.if.ufrj  tclp        tmc_prin n6l22u2             --      1      1    --  480:00:00 R  00:00:01   mil01/1
10.6 1780.tmcserver.if.ufrj  tclp        tmc_prin n6l22u2            7342     1      1    --  480:00:00 R  00:00:27   apq05/7
10.8 1782.tmcserver.if.ufrj  tclp        tmc_prin n6l22u2           64813     1      1    --  480:00:00 R  00:00:03   apq03/6
11.4 1783.tmcserver.if.ufrj  tclp        tmc_prin n6l22u2             --      1      1    --  480:00:00 R  00:00:02   apq05/6
11.8 1784.tmcserver.if.ufrj  tclp        tmc_prin n6l22u2             --      1      1    --  480:00:00 R  00:00:01   mil01/2
