 -12.000      0.000000    0.00000000      Infinity    0.00000007      Infinity    0.00000018
   4.400      1.821918    0.00002018      0.099253    0.00002187      0.084552    0.00002247
   4.600      1.843341    0.00003511      0.086102    0.00003522      0.074600    0.00002946
   4.800      1.863959    0.00003009      0.073797    0.00003115      0.064932    0.00002805
   5.000      1.883685    0.00004629      0.062319    0.00004722      0.055614    0.00004152
   5.200      1.902036    0.00002634      0.051896    0.00002679      0.046954    0.00002349
   5.400      1.918500    0.00003057      0.042741    0.00003120      0.039102    0.00002721
   5.600      1.933103    0.00002992      0.034776    0.00003057      0.032175    0.00002701
   5.800      1.946204    0.00001568      0.027748    0.00001611      0.025920    0.00001479
   6.000      1.957799    0.00001546      0.021619    0.00001584      0.020371    0.00001421
   6.200      1.967880    0.00001084      0.016358    0.00001089      0.015546    0.00001042
   6.400      1.976202    0.00001033      0.012062    0.00001042      0.011553    0.00000974
   6.600      1.982704    0.00001038      0.008734    0.00001046      0.008430    0.00000986
   6.800      1.987694    0.00000759      0.006196    0.00000758      0.006026    0.00000729
   7.000      1.991437    0.00000627      0.004302    0.00000628      0.004213    0.00000611
   7.200      1.994234    0.00000413      0.002892    0.00000414      0.002850    0.00000405
   7.400      1.996256    0.00000232      0.001876    0.00000233      0.001857    0.00000230
   7.600      1.997644    0.00000178      0.001180    0.00000178      0.001172    0.00000177
   7.800      1.998558    0.00000115      0.000722    0.00000116      0.000719    0.00000116
   8.000      1.999132    0.00000077      0.000434    0.00000077      0.000433    0.00000079
   8.200      1.999485    0.00000048      0.000258    0.00000049      0.000257    0.00000052
   8.400      1.999696    0.00000028      0.000152    0.00000029      0.000152    0.00000033
   8.600      1.999821    0.00000011      0.000089    0.00000014      0.000089    0.00000022
   8.800      1.999896    0.00000012      0.000052    0.00000014      0.000052    0.00000022
   9.000      1.999939    0.00000005      0.000031    0.00000009      0.000031    0.00000019
   9.200      1.999964    0.00000004      0.000018    0.00000008      0.000018    0.00000019
   9.400      1.999979    0.00000002      0.000010    0.00000008      0.000010    0.00000018
   9.600      1.999988    0.00000001      0.000006    0.00000008      0.000006    0.00000018
   9.800      1.999993    0.00000001      0.000004    0.00000008      0.000004    0.00000018
  10.000      1.999996    0.00000000      0.000002    0.00000007      0.000002    0.00000018
  10.200      1.999998    0.00000000      0.000001    0.00000007      0.000001    0.00000018
  10.400      1.999999    0.00000000      0.000001    0.00000007      0.000001    0.00000018
  10.600      1.999999    0.00000000      0.000000    0.00000007      0.000000    0.00000018
  10.800      2.000000    0.00000000      0.000000    0.00000007      0.000000    0.00000018
  11.000      2.000000    0.00000000      0.000000    0.00000007      0.000000    0.00000018
  11.200      2.000000    0.00000000      0.000000    0.00000007      0.000000    0.00000018
  11.400      2.000000    0.00000000      0.000000    0.00000007      0.000000    0.00000018
  11.600      2.000000    0.00000000      0.000000    0.00000007      0.000000    0.00000018
  11.800      2.000000    0.00000000      0.000000    0.00000007      0.000000    0.00000018
  12.000      2.000000    0.00000000      0.000000    0.00000007      0.000000    0.00000018
