-12	3.96617494820006E-4	3.1E-7	1.00852838118381	1.00852838118381
-11.8	4.84017635149936E-4	2.8E-7	0.991699403372583	0.991699403372583
-11.6	5.90741910319936E-4	2.9E-7	0.99874410413926	0.99874410413926
-11.4	7.20904964599978E-4	5E-7	0.99874468252486	0.99874468252486
-11.2	8.79375984160102E-4	4.3E-7	1.00070961210124	1.00070961210124
-11	0.0010734066470901	7E-7	0.996826321972816	0.996826321972816
-10.8	0.00130835050697975	6.5E-7	1.00126074244742	1.00126074244742
-10.6	0.00159673212434019	8.7E-7	1.00204660231356	1.00204660231356
-10.4	0.00194391992607024	1.37E-6	1.00312773887866	1.00312773887866
-10.2	0.00236807288281993	1.51E-6	0.996590948328282	0.996590948328282
-10	0.00288291013566022	2.2E-6	0.998990556235443	0.998990556235443
-9.8	0.00350920446001002	1.71E-6	1.00022670095147	1.00022670095147
-9.6	0.00426636828533011	2.06E-6	0.998507328738588	0.998507328738588
-9.4	0.00519035309061988	3.45E-6	1.0018586229514	1.0018586229514
-9.2	0.00628728306042992	3.22E-6	1.00361315680426	1.00361315680426
-9	0.00761732716222019	6.2E-6	0.999038092750364	0.999038092750364
-8.8	0.00922190157224989	5.13E-6	0.999793798249201	0.999793798249201
-8.6	0.0111207331146601	4.83E-6	0.999034855476753	0.999034855476753
-8.4	0.0134061865607999	6.94E-6	0.998792605135954	0.999538529411635
-8.2	0.0161227300515101	6.85E-6	1.00169139769771	1.00107115534619
-8	0.0193124930692301	1.061E-5	1.00142430760603	1.00090650806745
-7.8	0.0230883727861899	1.862E-5	1.00136983295025	1.00136983295025
-7.6	0.02748216710261	1.484E-5	1.00174050675158	1.00210437907513
-7.4	0.0326202910179902	1.279E-5	1.0018304245654	1.00213698222285
-7.2	0.0385698346567702	2.28E-5	1.00233771661279	1.00285625655931
-7	0.04532764413687	2.693E-5	1.00336121292053	1.00380244476438
-6.8	0.05312399582199	1.095E-5	1.00425427670703	1.00406603785479
-6.6	0.0619436763099599	1.999E-5	1.00510663410511	1.00526807108456
-6.4	0.0718578797718799	3.262E-5	1.00629186707923	1.00615270349645
-6.2	0.08298322512311	2.574E-5	1.00682999336371	1.00622746194937
-6	0.09535521840937	3.008E-5	1.00843982745837	1.0077057302462
-5.8	0.10885909994333	3.439E-5	1.0094700402374	1.01020493516158
-5.6	0.12383041317103	4.201E-5	1.01057564773818	1.01065640334372
-5.4	0.140142477408	4.347E-5	1.01246961395518	1.01225554609685
-5.2	0.15770421009569	4.27E-5	1.01424051965986	1.01506484768459
-5	0.17661179953924	4.273E-5	1.01635338334299	1.01601365519257
-4.8	0.19710945698701	7.378E-5	1.0187233178428	1.01836818521208
-4.6	0.21905455015704	6.131E-5	1.02116116665751	1.02093291301036
-4.4	0.24214814193748	8.089E-5	1.02400124987959	1.02528145792711
-4.2	0.2668219239287	6.533E-5	1.02697707881465	1.02870107507862
-4	0.29283867647113	7.214E-5	1.03029423447672	1.03101135286604
-3.8	0.32019484963379	8.487E-5	1.03390170197499	1.03437016672441
-3.6	0.34897631519473	8.173E-5	1.03754892304929	1.04127410422462
-3.4	0.37881256106265	5.1E-5	1.0415441317289	1.04523989090878
-3.2	0.40988444006567	8.45E-5	1.04558738538925	1.0462705047581
-3	0.44236291632932	6.463E-5	1.04977154019459	1.05153479830508
-2.8	0.47556307473669	8.594E-5	1.05388754220983	1.05310951712829
-2.6	0.50999904145709	7.287E-5	1.05755100727063	1.05782551759049
-2.4	0.54515334526977	1.0317E-4	1.06085747252236	1.06142611986295
-2.2	0.58108873561695	5.465E-5	1.06369296479952	1.06474271841306
-2	0.61765883722879	8.17E-5	1.06492445400948	1.06419589647436
-1.8	0.65478790542571	6.695E-5	1.06509297777359	1.06750597286239
-1.6	0.69231528956768	3.627E-5	1.06320055485073	1.05506842186907
-1.4	0.73023850802792	4.954E-5	1.05873627794282	1.05581942272828
-1.2	0.76846130054005	1.364E-5	1.05133465983547	1.05059291786408
-1	0.80681251551834	2.629E-5	1.040254066288	1.04415831905975
-0.8	0.84537537308176	3.53E-5	1.02536698796898	1.02882107486692
-0.6	0.8839694762932	3.513E-5	1.00604152501871	1.01642649898692
-0.4	0.92258343627979	1.61E-5	0.982057518454331	0.99839208442136
-0.2	0.96127095262036	7.85E-6	0.952998733086442	0.950886945567567
0	1	0	0.91929	0.92605
0.2	1.03873	7.85E-6	0.881932744794124	0.879978435204529
0.4	1.07742	1.61E-5	0.840925544355961	0.854912661728945
0.6	1.11603	3.513E-5	0.796851339121708	0.805076924455436
0.8	1.15462	3.53E-5	0.750740503369074	0.753269473939478
1	1.19319	2.629E-5	0.703400129065782	0.706040110963049
1.2	1.23154	1.364E-5	0.656016044951849	0.655553209802361
1.4	1.26976	4.954E-5	0.608878843245968	0.607201360887097
1.6	1.30768	3.627E-5	0.562882356539826	0.558577021901383
1.8	1.34521	6.695E-5	0.518439500152392	0.519614037956899
2	1.38234	8.17E-5	0.475830837565288	0.475505302602833
2.2	1.41891	5.465E-5	0.435616071491497	0.436045978955677
2.4	1.45485	1.0317E-4	0.397518644533801	0.397731724920095
2.6	1.49	7.287E-5	0.361979865771812	0.362073825503356
2.8	1.52444	8.594E-5	0.328769908950172	0.328527196872294
3	1.55764	6.463E-5	0.298130505123135	0.298631262679438
3.2	1.59012	8.45E-5	0.269520539330365	0.269696626669685
3.4	1.62119	5.1E-5	0.243370610477489	0.244234173662557
3.6	1.65102	8.173E-5	0.219306852733462	0.2200942447699
3.8	1.67981	8.487E-5	0.197075859769855	0.197165155583072
