 -10.000      0.000000    0.00000000      Infinity    0.00000078      Infinity    0.00000020
  -9.800      0.000000    0.00000000      Infinity    0.00000078      Infinity    0.00000020
  -9.600      0.000000    0.00000000      Infinity    0.00000078      Infinity    0.00000020
  -9.400      0.000001    0.00000000      0.697919    0.00000078      0.697940    0.00000020
  -9.200      0.000002    0.00000000      0.775579    0.00000078      0.775513    0.00000020
  -9.000      0.000003    0.00000000      1.155523    0.00000078      1.155223    0.00000020
  -8.800      0.000008    0.00000001      0.965251    0.00000078      0.963172    0.00000020
  -8.600      0.000017    0.00000002      1.013008    0.00000079      1.007619    0.00000020
  -8.400      0.000038    0.00000004      1.000644    0.00000078      1.001209    0.00000021
  -8.200      0.000084    0.00000008      1.002202    0.00000078      1.001760    0.00000022
  -8.000      0.000186    0.00000030      0.998115    0.00000089      0.997798    0.00000036
  -7.800      0.000406    0.00000046      0.998978    0.00000091      0.997545    0.00000051
  -7.600      0.000863    0.00000133      1.000338    0.00000155      0.997352    0.00000134
  -7.400      0.001760    0.00000103      0.999890    0.00000130      0.994025    0.00000103
  -7.200      0.003317    0.00000294      1.000031    0.00000294      0.989033    0.00000288
  -7.000      0.005606    0.00000297      1.000287    0.00000332      0.981920    0.00000289
  -6.800      0.008538    0.00000375      1.000560    0.00000385      0.973548    0.00000362
  -6.600      0.012297    0.00000392      1.000806    0.00000387      0.965052    0.00000380
  -6.400      0.017755    0.00001055      1.001202    0.00001059      0.956952    0.00000991
  -6.200      0.025978    0.00001499      1.001745    0.00001502      0.948885    0.00001417
  -6.000      0.037044    0.00002360      1.002506    0.00002347      0.941044    0.00002223
  -5.800      0.049384    0.00001511      1.003477    0.00001542      0.933134    0.00001432
  -5.600      0.061667    0.00002040      1.004515    0.00002021      0.925457    0.00001923
  -5.400      0.074702    0.00002126      1.005529    0.00002170      0.917429    0.00001902
  -5.200      0.090729    0.00002632      1.006839    0.00002703      0.907768    0.00002330
  -5.000      0.110822    0.00002307      1.008682    0.00002365      0.896023    0.00002145
  -4.800      0.133108    0.00003367      1.011078    0.00003442      0.882740    0.00002873
  -4.600      0.154585    0.00002751      1.012690    0.00002882      0.870603    0.00002613
  -4.400      0.174135    0.00002715      1.014862    0.00003038      0.860513    0.00002443
  -4.200      0.193927    0.00003552      1.017066    0.00003821      0.848611    0.00003221
  -4.000      0.216802    0.00004353      1.019710    0.00004620      0.835119    0.00003530
  -3.800      0.243118    0.00003311      1.023345    0.00003831      0.816193    0.00002883
  -3.600      0.270509    0.00003195      1.026839    0.00003410      0.795992    0.00004276
  -3.400      0.297499    0.00003194      1.029703    0.00003527      0.775349    0.00003359
  -3.200      0.325420    0.00004391      1.034346    0.00004798      0.758043    0.00004344
  -3.000      0.358048    0.00002617      1.039885    0.00002757      0.742169    0.00004454
  -2.800      0.397198    0.00006048      1.047783    0.00006273      0.724793    0.00008044
  -2.600      0.440496    0.00004347      1.056375    0.00005384      0.709800    0.00005859
  -2.400      0.484099    0.00003336      1.065407    0.00005086      0.693684    0.00006424
  -2.200      0.525595    0.00003298      1.076997    0.00004065      0.678013    0.00004447
  -2.000      0.565569    0.00003757      1.089667    0.00008059      0.660151    0.00007440
  -1.800      0.607448    0.00003972      1.104319    0.00008517      0.638711    0.00006071
  -1.600      0.653848    0.00004991      1.123146    0.00010526      0.613752    0.00010055
  -1.400      0.703554    0.00002564      1.149068    0.00010585      0.585904    0.00005493
  -1.200      0.753589    0.00002328      1.179316    0.00007468      0.556417    0.00015528
  -1.000      0.801208    0.00002966      1.214769    0.00020090      0.529576    0.00010382
  -0.800      0.844641    0.00001831      1.254426    0.00014548      0.505416    0.00009278
  -0.600      0.883945    0.00001758      1.297917    0.00027077      0.485697    0.00010663
  -0.400      0.921622    0.00001231      1.336827    0.00025780      0.467613    0.00008718
  -0.200      0.960228    0.00001338      1.354121    0.00024290      0.452112    0.00011745
   0.000      1.000000    0.00000000      1.333748    0.00018440      0.434599    0.00016218
   0.200      1.039772    0.00001338      1.250529    0.00024290      0.417525    0.00011745
   0.400      1.078378    0.00001231      1.142502    0.00025780      0.399640    0.00008718
   0.600      1.116055    0.00001758      1.027984    0.00027077      0.384685    0.00010663
   0.800      1.155359    0.00001831      0.917065    0.00014548      0.369492    0.00009278
   1.000      1.198792    0.00002966      0.811886    0.00020090      0.353940    0.00010382
   1.200      1.246411    0.00002328      0.713023    0.00007468      0.336414    0.00015528
   1.400      1.296446    0.00002564      0.623575    0.00010585      0.317958    0.00005493
