  20  1         0.86319   0.00000         0.91993  -0.00000
  20  2         0.85332   0.00000         0.81781   0.00000
  20  3         0.85401   0.00000         0.92822   0.00000
  20  4         0.86252  -0.00000         0.81034  -0.00000
  30  1         0.71508   0.00000         0.77067  -0.00000
  30  2         0.80005   0.00000         0.75623  -0.00000
  30  3         0.96991   0.00000         0.73245  -0.00000
  30  4         0.80693  -0.00000         0.71309  -0.00000
  40  10         0.71367   0.00000         0.70622  -0.00000
  40  1         0.75592  -0.00000         0.76387  -0.00000
  40  2         0.89966  -0.00000         0.82856   0.00000
  40  3         0.73526   0.00000         0.79473   0.00000
  40  4         0.66299  -0.00000         0.78172  -0.00000
  40  5         0.76599   0.00000         0.61859  -0.00000
  40  6         0.76965  -0.00000         0.75647  -0.00000
  40  8         0.75724  -0.00000         0.86404   0.00000
  40  9         0.76704  -0.00000         0.74981   0.00000
  50  1         0.76439  -0.00000         0.78747  -0.00000
  50  2         0.93647  -0.00000         0.77549   0.00000
  50  3         0.79276   0.00000         0.72913   0.00000
  50  4         0.68418  -0.00000         0.82457  -0.00000
  50  5         0.71234   0.00000         0.62848   0.00000
  50  6        -5.08801   0.00000         0.77497   0.00000
  50  9         0.68259   0.00000         0.56856  -0.00000
