  20  1         1.40745   0.00000         1.78230  -0.00000
  20  2         1.44627   0.00000         1.86740   0.00000
  20  3         1.44071   0.00000         1.61271   0.00000
  20  4         1.47386   0.00000         1.62537  -0.00000
  30  1         1.91295  -0.00000         3.29818   0.00000
  30  2         1.78466  -0.00000         1.91079  -0.00000
  30  3         2.58239   0.00000         1.76764   0.00000
  30  4         1.78358   0.00000         2.15849  -0.00000
  40  10         2.31017  -0.00000         3.26645   0.00000
  40  1         2.22253   0.00000         2.40939   0.00000
  40  2         2.47399  -0.00000         2.80791  -0.00000
  40  3         2.35926  -0.00000         2.96518  -0.00000
  40  4         2.43058  -0.00000         2.72908  -0.00000
  40  5         2.60067   0.00000         1.87409   0.00000
  40  6         2.32516   0.00000         4.21607  -0.00000
  40  8         2.26285  -0.00000         3.00988  -0.00000
  40  9         2.21486  -0.00000         2.14084   0.00000
  50  1         5.93097  -0.00000         2.40670  -0.00000
  50  2         3.81628   0.00000         2.80155  -0.00000
  50  3         3.00908  -0.00000         2.66560   0.00000
  50  4         3.12315   0.00000         3.33696  -0.00000
  50  5         3.21485  -0.00000         6.65290  -0.00000
  50  6        27.84426  -0.00000         1.73010  -0.00000
  50  9         3.00234   0.00000         2.35444  -0.00000
