1827.tmcserver.if.ufrj  tclp        tmc_prin n6l18u4            9133     1      1    --  480:00:00 R  00:00:23   apq05/5 8.6
1828.tmcserver.if.ufrj  tclp        tmc_prin n6l18u4            9246     1      1    --  480:00:00 R  00:00:04   apq05/6 8.8
1829.tmcserver.if.ufrj  tclp        tmc_prin n6l18u4             --      1      1    --  480:00:00 R  00:00:00   mil05/1 9.0
1830.tmcserver.if.ufrj  tclp        tmc_prin n6l18u4           28377     1      1    --  480:00:00 R  00:02:48   apq-nvidia04/0 9.2
1831.tmcserver.if.ufrj  tclp        tmc_prin n6l18u4           28514     1      1    --  480:00:00 R  00:02:37   apq-nvidia04/1 9.4
1832.tmcserver.if.ufrj  tclp        tmc_prin n6l18u4           26089     1      1    --  480:00:00 R  00:02:27   apq-nvidia03/0 9.6 
1833.tmcserver.if.ufrj  tclp        tmc_prin n6l18u4           26227     1      1    --  480:00:00 R  00:02:17   apq-nvidia03/1 9.8
1834.tmcserver.if.ufrj  tclp        tmc_prin n6l18u4           30062     1      1    --  480:00:00 R  00:01:57   tesla01/0 10.0
1835.tmcserver.if.ufrj  tclp        tmc_prin n6l18u4           30193     1      1    --  480:00:00 R  00:01:46   tesla01/1 10.2
1836.tmcserver.if.ufrj  tclp        tmc_prin n6l18u4            9542     1      1    --  480:00:00 R  00:01:31   apq05/0 10.4
1837.tmcserver.if.ufrj  tclp        tmc_prin n6l18u4            9646     1      1    --  480:00:00 R  00:01:17   apq05/1 10.6
1838.tmcserver.if.ufrj  tclp        tmc_prin n6l18u4            9765     1      1    --  480:00:00 R  00:01:10   apq05/2 10.8
1839.tmcserver.if.ufrj  tclp        tmc_prin n6l18u4            9886     1      1    --  480:00:00 R  00:00:52   apq05/3 11.0
1840.tmcserver.if.ufrj  tclp        tmc_prin n6l18u4            9989     1      1    --  480:00:00 R  00:00:39   apq05/4 11.2
1841.tmcserver.if.ufrj  tclp        tmc_prin n6l18u4           10102     1      1    --  480:00:00 R  00:00:32   apq05/5 11.4
1842.tmcserver.if.ufrj  tclp        tmc_prin n6l18u4               0     1      1    --  480:00:00 R  00:00:17   apq05/6 11.6
1843.tmcserver.if.ufrj  tclp        tmc_prin n6l18u4           10326     1      1    --  480:00:00 R  00:00:08   apq05/7 11.8
1844.tmcserver.if.ufrj  tclp        tmc_prin n6l18u4             --      1      1    --  480:00:00 R  00:00:01   apq03/6 12.0
