mu	density			erro			entropy	docc			error
-12	6.4315343299981E-6	1.28913481282162E-8	0	4.28590496426295E-12	1.2891335735357E-8
-11.8	9.60084949008788E-6	1.93725174139123E-8	6.00866309961033E-5	9.53903622757935E-12	1.93724832404205E-8
-11.6	1.43526881899447E-5	2.3273023963622E-8	1.45613669468459E-4	2.1334045641197E-11	2.32729704887828E-8
-11.4	2.13782555200659E-5	4.89062180553801E-8	2.67001133186184E-4	4.72639705151323E-11	4.89060601365831E-8
-11.2	3.20370074700094E-5	3.90623944119037E-8	4.3901372563866E-4	1.05931929894609E-10	3.90621670121091E-8
-11	4.76051073401429E-5	1.09283838955563E-7	6.81817839290355E-4	2.34352981465236E-10	1.09283090378247E-7
-10.8	7.11117689999874E-5	1.09761767228736E-7	0.00102414936162369	5.22148990711457E-10	1.09760331404701E-7
-10.6	1.05925351849834E-4	1.79949714706719E-7	0.00150201591635768	1.1589618154062E-9	1.79946862597396E-7
-10.4	1.57253690939996E-4	3.07988859983008E-7	0.00216813956792023	2.55597887299786E-9	3.07983179805436E-7
-10.2	2.34152488409745E-4	2.58085606042134E-7	0.00309754093630197	5.66802282886414E-9	2.58077094748879E-7
-10	3.48401452479941E-4	5.30098115216122E-7	0.00439235628602419	1.25371020232024E-8	5.30063287666727E-7
-9.8	5.18279233690189E-4	7.50259555197266E-7	0.00616256233356775	2.77506900792091E-8	7.50196392183239E-7
-9.6	7.68141784099896E-4	8.99306006268183E-7	0.00855515823891891	6.08614718622391E-8	8.9919413245456E-7
-9.4	0.00113165736887999	2.10806157125318E-6	0.0117718976458856	1.32337857006171E-7	2.10765088389817E-6
-9.2	0.00166106628250007	2.46237470377031E-6	0.0160471511571851	2.86131164983772E-7	2.46165872621301E-6
-9	0.00241840218949996	3.4179434453728E-6	0.0216348701364791	6.0521453781881E-7	3.41728499393062E-6
-8.8	0.00350005216164018	2.5533301913215E-6	0.0288626509271894	1.26583746928866E-6	2.5522963434746E-6
-8.6	0.00500529441575015	3.62649569302746E-6	0.0379718937720674	2.58913408812678E-6	3.62320989601566E-6
-8.4	0.00702859635307007	1.08661273664556E-5	0.0491833212839044	5.10383503093959E-6	1.08546908808344E-5
-8.2	0.00976979707784009	8.90801126447938E-6	0.0626618564991202	9.88473460306061E-6	8.89063069328792E-6
-8	0.01331258960215	2.50181820057911E-5	0.0784593740864775	1.83246343928856E-5	2.49689926500313E-5
-7.8	0.0178663225123099	1.63154806378802E-5	0.0968872758685337	3.29423052756184E-5	1.62603230404337E-5
-7.6	0.0235559606268798	2.06939540939815E-5	0.117847211870593	5.7132812223748E-5	2.06232848677145E-5
-7.4	0.0304828196090403	2.83823179627332E-5	0.140706573969181	9.59086794182218E-5	2.83036689396209E-5
-7.2	0.0387501828750398	3.35448000132484E-5	0.16488697327943	1.55740536737836E-4	3.33739965945449E-5
-7	0.0485551764932899	4.88483878247848E-5	0.190288404284836	2.45086584505949E-4	4.85178011466145E-5
-6.8	0.0597700687784999	4.03194655124331E-5	0.216910267566971	3.72587815533842E-4	3.98682103715262E-5
-6.6	0.0724212487867502	5.48068020515821E-5	0.243822501978853	5.4879766846605E-4	5.43447843794369E-5
-6.4	0.0863101281682699	6.78271019479834E-5	0.27098930279886	7.82952093206779E-4	6.70135014524969E-5
-6.2	0.10170756113912	7.21279482077071E-5	0.298245949687996	0.00109245548157777	7.13843667993359E-5
-6	0.11849918225755	6.42274678472459E-5	0.326168603630515	0.00148799239799013	6.33808714594311E-5
-5.8	0.13642954696255	5.49138728898105E-5	0.354962680337325	0.00198348278264904	5.4070455553538E-5
-5.6	0.15555053208632	4.176991193527E-5	0.384255698629474	0.0025873769407827	4.0406071043445E-5
-5.4	0.17573479726799	6.25270628483769E-5	0.413884466033386	0.00331553058602119	6.20082471367641E-5
-5.2	0.19707616208385	9.00316803007702E-5	0.443795267367725	0.00418328932748391	8.90831640469393E-5
-5	0.21972724203714	6.91231157586248E-5	0.475737662891076	0.00521026133836711	6.9083224975895E-5
-4.8	0.24362123459897	6.37306374439125E-5	0.509147434358458	0.00640803881251917	6.46336490545618E-5
-4.6	0.26870588308948	1.01341900400205E-4	0.543933902320216	0.00781525178695996	9.93299415215654E-5
-4.4	0.29532243767832	8.32455150623372E-5	0.581295004691036	0.00945721623542783	8.33980566786476E-5
-4.2	0.32328992400512	1.31296360859721E-4	0.620281843923949	0.0113566937018907	1.26970871825883E-4
-4	0.35291377605652	8.46204079919326E-5	0.660783951390439	0.013584062846699	8.00848171608453E-5
-3.8	0.38362174214778	8.55855181756525E-5	0.702596918886185	0.0161059514869552	8.56910229003603E-5
-3.6	0.41547231062641	1.09871603329106E-4	0.742601511176245	0.0190095612740608	1.06491993462287E-4
-3.4	0.4487258067019	1.03521173066416E-4	0.781116240896295	0.0223165587466331	1.02111749435367E-4
-3.2	0.48202376703574	1.05959559063763E-4	0.816235084953707	0.0260244741164941	1.01272300076072E-4
-3	0.51629861034086	7.49698000887226E-5	0.847590411445797	0.0302144482927521	7.51096095246245E-5
-2.8	0.55093519653632	7.29409186249525E-5	0.877765972137917	0.0348829937223261	7.99863355364913E-5
-2.6	0.58542743744152	7.40493440447007E-5	0.903954921033508	0.0399973066544871	8.58845847839213E-5
-2.4	0.62024433771376	7.14149467067652E-5	0.926236243462376	0.0456565343019541	7.90838837550378E-5
-2.2	0.65468024668381	9.77359273377902E-5	0.945219674648561	0.05180457847568	1.03400439519465E-4
-2	0.68872387917082	7.93260399847426E-5	0.961336673404434	0.0585218541388611	8.21991165383874E-5
